,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
58,flerw,Detroit Madness (Instrumental),J Dilla,Rebirth Of Detroit Instrumentals,0,2014-05-06,201711
59,flerw,Sunny Duet (feat. the Mind),Noname,Telefone,18,2016-08-12,162490
60,flerw,Sunny Duet (feat. the Mind),The Mind,Telefone,18,2016-08-12,162490
61,flerw,Casket Pretty,Noname,Telefone,10,2016-08-12,110503
62,flerw,Freedom (Interlude),Noname,Telefone,10,2016-08-12,199029
63,flerw,Redbone,Childish Gambino,Redbone,0,2016-11-17,326880
64,flerw,We Ain't Them,Childish Gambino,Majestic Casual - Chapter I,0,2013-11-10,193213
65,flerw,Souvenir (feat. Hemlock Ernst),Milo,So the Flies Don't Come,0,2015-09-25,225335
66,flerw,Souvenir (feat. Hemlock Ernst),Hemlock Ernst,So the Flies Don't Come,0,2015-09-25,225335
67,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Noname,Telefone,20,2016-08-12,183135
68,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Akenya,Telefone,20,2016-08-12,183135
69,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Eryn Allen Kane,Telefone,20,2016-08-12,183135
70,flerw,Sour Mango,Gabriel Garzón-Montano,Sour Mango,0,2016-11-02,259001
71,flerw,Folk-Metaphysics,Milo,things that happen at day // things that happen at night,0,2013-04-02,281853
72,flerw,Yesterday,Noname,Telefone,17,2016-08-12,189509
73,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Noname,Telefone,25,2016-08-12,311000
74,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Phoelix,Telefone,25,2016-08-12,311000
75,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Smino,Telefone,25,2016-08-12,311000
76,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Saba,Telefone,25,2016-08-12,311000
77,flerw,Bye Bye Baby,Noname,Telefone,12,2016-08-12,169241
78,you're so stinkin' cute!!,An Encounter,The 1975,The 1975 (Deluxe Version),45,2013,74750
79,you're so stinkin' cute!!,Honey & I,HAIM,Days Are Gone,39,2013-09-30,250133
80,you're so stinkin' cute!!,Do The Trick,Dr. Dog,Be The Void (Deluxe Edition),30,2012-02-07,272413
81,you're so stinkin' cute!!,Ancient Mars,The Zolas,Ancient Mars,40,2012-10-29,222398
82,you're so stinkin' cute!!,You Always Make Me Smile,Kyle Andrews,Kangaroo,37,2010-04-01,166280
83,you're so stinkin' cute!!,I've Got This Friend,The Civil Wars,Barton Hollow,0,2011-02-01,203866
84,you're so stinkin' cute!!,I Got You,Jack Johnson,From Here To Now To You,45,2013-01-01,179346
85,you're so stinkin' cute!!,Ae Fond Kiss,Rachel Sermanni,Ae Fond Kiss,0,2013-01-25,258839
86,hang on little tomato,Young Lion,Vampire Weekend,Modern Vampires of the City,0,2013-05-27,105360
87,hang on little tomato,In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998-02-20,202346
88,hang on little tomato,Needle,Born Ruffians,Birthmarks,0,2013-04-16,213870
89,hang on little tomato,Unbelievers,Vampire Weekend,Modern Vampires of the City,0,2013-05-27,202666
90,hang on little tomato,12,The 1975,The 1975 (Deluxe Version),41,2013,79577
