,playlist_name,variable,value
139,Re-education: Bob Dylan,liveness,0.14689166666666667
140,When you need it,liveness,0.19925714285714285
141,You are safe,liveness,0.202625
142,a love letter to little me,liveness,0.21113793103448278
143,artsy fartsy,liveness,0.27610416666666665
144,coming of age online,liveness,0.159574
145,current nov22,liveness,0.16272083333333334
146,doin' the naughty,liveness,0.17881111111111114
147,don't worry about it,liveness,0.16343999999999997
148,"dont worry, you're doing just fine",liveness,0.15379230769230767
149,flerw,liveness,0.10711333333333334
150,hang on little tomato,liveness,0.14347777777777776
151,i'd make u up,liveness,0.23404615384615385
152,looking for a savior,liveness,0.18056
153,our first dance,liveness,0.122
154,sing me to sleep,liveness,0.1579375
155,songs that break my heart,liveness,0.1033391304347826
156,to my future daughter or son,liveness,0.097375
157,wedding playlist 2,liveness,0.18170999999999998
158,when you realize you’re both in love,liveness,0.21966666666666665
159,you're so stinkin' cute!!,liveness,0.1643375
160,Apt. 435,loudness,0.07236793060538682
161,Dancing slowly in a vast room,loudness,0.024028275257361065
162,Heavy Feeling,loudness,0.0
163,Introducing:,loudness,0.08633707538712376
164,Lina's Country Classics,loudness,0.7337794966290931
165,Lina's happy-ish love songs,loudness,0.5097156870290842
166,Momma,loudness,0.2738195136030952
167,Re-education pt. 1,loudness,0.6191601692048023
168,Re-education pt. 2,loudness,0.6522869982586355
169,Re-education pt. 3,loudness,0.2942580253768974
170,Re-education pt. 4,loudness,0.8455975116266178
171,Re-education: Bob Dylan,loudness,0.0009423629416249746
172,When you need it,loudness,0.3637956500570303
173,You are safe,loudness,0.12364529353745457
174,a love letter to little me,loudness,1.0
175,artsy fartsy,loudness,0.6979288922169995
176,coming of age online,loudness,0.47768017195734314
177,current nov22,loudness,0.23408884446806177
178,doin' the naughty,loudness,0.5704206035328097
179,don't worry about it,loudness,0.3905526203615386
180,"dont worry, you're doing just fine",loudness,0.38070610024512597
181,flerw,loudness,0.32227426775723345
182,hang on little tomato,loudness,0.27343769413536756
183,i'd make u up,loudness,0.8431557895476671
184,looking for a savior,loudness,0.16816882441656622
185,our first dance,loudness,0.38530171861768925
186,sing me to sleep,loudness,0.1609846928145302
187,songs that break my heart,loudness,0.29054905294560496
188,to my future daughter or son,loudness,0.16641020886815117
189,wedding playlist 2,loudness,0.6223531165834851
190,when you realize you’re both in love,loudness,0.5108992971463415
191,you're so stinkin' cute!!,loudness,0.5070796091200851
192,Apt. 435,speechiness,0.039569230769230766
193,Dancing slowly in a vast room,speechiness,0.03542142857142857
194,Heavy Feeling,speechiness,0.036027777777777784
195,Introducing:,speechiness,0.0497625
196,Lina's Country Classics,speechiness,0.032914
197,Lina's happy-ish love songs,speechiness,0.03975510204081632
198,Momma,speechiness,0.04053103448275862
199,Re-education pt. 1,speechiness,0.19495555555555555
200,Re-education pt. 2,speechiness,0.22763999999999998
201,Re-education pt. 3,speechiness,0.056237499999999996
202,Re-education pt. 4,speechiness,0.09542142857142857
203,Re-education: Bob Dylan,speechiness,0.038075000000000005
204,When you need it,speechiness,0.03615714285714285
205,You are safe,speechiness,0.0366875
206,a love letter to little me,speechiness,0.04898275862068966
