,Unnamed: 0,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
59,59,flerw,Sunny Duet (feat. the Mind),Noname,Telefone,18,2016,162490
60,60,flerw,Sunny Duet (feat. the Mind),The Mind,Telefone,18,2016,162490
61,61,flerw,Casket Pretty,Noname,Telefone,10,2016,110503
62,62,flerw,Freedom (Interlude),Noname,Telefone,10,2016,199029
63,63,flerw,Redbone,Childish Gambino,Redbone,0,2016,326880
64,64,flerw,We Ain't Them,Childish Gambino,Majestic Casual - Chapter I,0,2013,193213
65,65,flerw,Souvenir (feat. Hemlock Ernst),Milo,So the Flies Don't Come,0,2015,225335
66,66,flerw,Souvenir (feat. Hemlock Ernst),Hemlock Ernst,So the Flies Don't Come,0,2015,225335
67,67,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Noname,Telefone,20,2016,183135
68,68,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Akenya,Telefone,20,2016,183135
69,69,flerw,Reality Check (feat. Akenya & Eryn Allen Kane),Eryn Allen Kane,Telefone,20,2016,183135
70,70,flerw,Sour Mango,Gabriel Garzón-Montano,Sour Mango,0,2016,259001
71,71,flerw,Folk-Metaphysics,Milo,things that happen at day // things that happen at night,0,2013,281853
72,72,flerw,Yesterday,Noname,Telefone,17,2016,189509
73,73,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Noname,Telefone,25,2016,311000
74,74,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Phoelix,Telefone,25,2016,311000
75,75,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Smino,Telefone,25,2016,311000
76,76,flerw,"Shadow Man (feat. Phoelix, Smino & Saba)",Saba,Telefone,25,2016,311000
77,77,flerw,Bye Bye Baby,Noname,Telefone,12,2016,169241
78,78,you're so stinkin' cute!!,An Encounter,The 1975,The 1975 (Deluxe Version),45,2013,74750
79,79,you're so stinkin' cute!!,Honey & I,HAIM,Days Are Gone,39,2013,250133
80,80,you're so stinkin' cute!!,Do The Trick,Dr. Dog,Be The Void (Deluxe Edition),30,2012,272413
81,81,you're so stinkin' cute!!,Ancient Mars,The Zolas,Ancient Mars,40,2012,222398
82,82,you're so stinkin' cute!!,You Always Make Me Smile,Kyle Andrews,Kangaroo,37,2010,166280
83,83,you're so stinkin' cute!!,I've Got This Friend,The Civil Wars,Barton Hollow,0,2011,203866
